artist,album,sales,year
THE BEATLES,SGT. PEPPER'S LONELY HEARTS CLUB BAND,32000000,1967
THE DOORS,THE DOORS,20000000,1967
PATSY CLINE,GREATEST HITS,10000000,1967
THE BEATLES,MAGICAL MYSTERY TOUR,7032199,1967
BOB DYLAN,BOB DYLAN'S GREATEST HITS,6525000,1967
JIMI HENDRIX,ARE YOU EXPERIENCED,5125000,1967
BARBRA STREISAND,A CHRISTMAS ALBUM,5035000,1967
THE MONKEES,MORE OF THE MONKEES,5012400,1967
ELVIS PRESLEY,HOW GREAT THOU ART,3001070,1967
JOHNNY CASH,GREATEST HITS,2100000,1967
THE MONKEES,"PISCES, AQUARIUS, CAPRICORN & JONES, LTD.",2016560,1967
THE MONKEES,HEADQUARTERS,2016490,1967
THE BEACH BOYS,"BEST OF THE BEACH BOYS, VOLUME 2",2000000,1967
THE DOORS,STRANGE DAYS,1694798,1967
MOODY BLUES,DAYS OF FUTURE PASSED,1160000,1967
BOB DYLAN,JOHN WESLEY HARDING,1100000,1967
CREAM,DISRAELI GEARS,1100000,1967
JIMI HENDRIX,AXIS: BOLD AS LOVE,1100000,1967
JEFFERSON AIRPLANE,SURREALISTIC PILLOW,1060000,1967
ARLO GUTHRIE,ALICE'S RESTAURANT,1000000,1967
BILL COSBY,REVENGE,1000000,1967
GLEN CAMPBELL,BY THE TIME I GET TO PHOENIX,1000000,1967
GLEN CAMPBELL,GENTLE ON MY MIND,1000000,1967
"PETER, PAUL & MARY",ALBUM 1700,1000000,1967
SOUNDTRACK,CAMELOT,1000000,1967
THE BYRDS,THE BYRDS' GREATEST HITS,1000000,1967
ENGELBERT HUMPERDINCK,RELEASE ME,700000,1967
ENGELBERT HUMPERDINCK,THE LAST WALTZ,600000,1967
THE ROLLING STONES,THEIR SATANIC MAJESTIES REQUEST,560000,1967
THE VENTURES,GOLDEN GREATS,556250,1967
MANTOVANI,MANTOVANI'S GOLDEN HITS,550000,1967
THE RIGHTEOUS BROTHERS,THE RIGHTEOUS BROTHERS GREATEST HITS,550000,1967
LEONARD COHEN,SONGS OF LEONARD COHEN,520000,1967
PINK FLOYD,PIPER AT THE GATES OF DAWN,518000,1967
PAUL MAURIAT,BLOOMING HITS,517690,1967
TOM JONES,LIVE AT TALK OF TOWN,509570,1967
BURT BACHARACH,REACH OUT,504320,1967
TOM JONES,GREEN GREEN GRASS OF HOME,501670,1967
ANDY WILLIAMS,BORN FREE,500000,1967
ANDY WILLIAMS,"LOVE, ANDY",500000,1967
ARETHA FRANKLIN,I NEVER LOVED A MAN THE WAY I LOVE YOU,500000,1967
BARBRA STREISAND,SIMPLY STREISAND,500000,1967
BOBBIE GENTRY,ODE TO BILLY JOE,500000,1967
CHAMBERS BROTHERS,THE TIME HAS COME,500000,1967
CHARLEY PRIDE,THE COUNTRY WAY,500000,1967
CLAUDINE LONGET,CLAUDINE,500000,1967
DEAN MARTIN,WELCOME TO MY WORLD,500000,1967
DIONNE WARWICK,DIONNE WARWICK'S GREATEST HITS,500000,1967
DONOVAN,A GIFT FROM A FLOWER TO A GARDEN,500000,1967
ED AMES,MY CUP RUNNETH OVER,500000,1967
EDDY ARNOLD,THE BEST OF EDDY ARNOLD,500000,1967
FIFTH DIMENSION,UP-UP AND AWAY,500000,1967
HERB ALPERT,HERB ALPERT'S NINTH,500000,1967
HERB ALPERT,SOUNDS LIKE,500000,1967
HERMAN'S HERMITS,THERE'S A KIND OF HUSH ALL OVER THE WORLD,500000,1967
JUDY COLLINS,WILDFLOWERS,500000,1967
LORETTA LYNN,DON'T COME HOME A DRINKIN',500000,1967
LOVIN' SPOONFUL,THE BEST OF THE LOVIN' SPOONFUL,500000,1967
PAUL REVERE & THE RAIDERS,PAUL REVERE & THE RAIDERS GREATEST HITS,500000,1967
RASCALS,COLLECTIONS,500000,1967
RASCALS,GROOVIN',500000,1967
RAY CHARLES,A MAN AND HIS SOUL,500000,1967
RAY CONNIFF,IT MUST BE HIM,500000,1967
ROGER WILLIAMS,SOMEWHERE MY LOVE,500000,1967
SERGIO MENDES & BRASIL '66,EQUINOX,500000,1967
SOUNDTRACK,DOCTOR DOLITTLE (1967),500000,1967
SOUNDTRACK,THE JUNGLE BOOK,500000,1967
SOUNDTRACK,THOROUGHLY MODERN MILLIE,500000,1967
THE ASSOCIATION,INSIGHT OUT,500000,1967
THE LETTERMEN,THE LETTERMEN!!!...AND LIVE,500000,1967
THE MAMAS & THE PAPAS,FAREWELL TO THE FIRST GOLDEN ERA,500000,1967
THE MAMAS & THE PAPAS,THE MAMAS & THE PAPAS DELIVER,500000,1967
THE ROLLING STONES,BETWEEN THE BUTTONS,500000,1967
THE ROLLING STONES,FLOWERS,500000,1967
THE TURTLES,GOLDEN HITS,500000,1967
VANILLA FUDGE,VANILLA FUDGE,500000,1967
WES MONTGOMERY,A DAY IN THE LIFE,500000,1967
THE VELVET UNDERGROUND,THE VELVET UNDERGROUND & NICO,370000,1967
BARBARA,BOBINO 1967,100000,1967
BARBARA,MA PLUS BELLE HISTOIRE D'AMOUR,100000,1967
CLAUDE FRANÇOIS,COMME D'HABITUDE,100000,1967
JACQUES BREL,MON ENFANCE,100000,1967
LOVE,FOREVER CHANGES,100000,1967
OTIS REDDING,THE HISTORY OF OTIS REDDING,100000,1967
PROCOL HARUM,PROCOL HARUM,100000,1967
SERGE LAMA,LES BALLONS ROUGES,100000,1967
THE ROVERS,THE UNICORN,100000,1967
MIRIAM MAKEBA,PATA PATA,89000,1967
CAPTAIN BEEFHEART,SAFE AS MILK,60000,1967
HERNAN FIGUEROA REYES,EL UNICO,60000,1967
THE WHO,THE WHO SELL OUT,60000,1967
HENK VD VELDE'S KINDERKOOR,DIKKERTJE DAP,50000,1967
KLAUS WUNDERLICH,HAMMOND POPS,50000,1967
NANA MOUSKOURI,LE DISQUE D'OR DE NANA MOUSKOURI,50000,1967
PAUL MAURIAT,LOVE IS BLUE,50000,1967
ARTHUR FIEDLER,POPS FESTIVAL,35000,1967
CUBY & THE BLIZZARDS,GROETEN UIT GROLLO,25000,1967
FABRIZIO DE ANDRE,VOLUME 1,25000,1967
THE VENTURES,POPS IN JAPAN,20740,1967
FRANÇOISE HARDY,MA JEUNESSE FOUT LE CAMP,16580,1967
PAUL MAURIAT,WORLD TOP HITS,5160,1967
LEIKHÓPURINN DÝRIN Í HÁLSASKÓGI,DÝRIN Í HÁLSASKÓGI,4543,1967
SLY & THE FAMILY STONE,A WHOLE NEW THING,1058,1967