Name,Disaster,Begin Date,End Date,"Total CPI-Adjusted Cost, (Millions of Dollars)",Deaths
"Southern Severe Storms and Flooding, (April 1980)",Flooding,29321,29328,2664.5,7
"Hurricane Allen, (August 1980)",Tropical Cyclone,29440,29444,2159.4,13
"Central/Eastern Drought/Heat Wave, (Summer-Fall 1980)",Drought,29373,29555,39278.4,1260
"Florida Freeze, (January 1981)",Freeze,29598,29600,2007.7,0
"Severe Storms, Flash Floods, Hail, Tornadoes, (May 1981)",Severe Storm,29711,29716,1365,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave, (January 1982)",Winter Storm,29959,29967,2144.8,85
"Midwest/Plains/Southeast Tornadoes, (April 1982)",Severe Storm,30043,30045,1556,33
"Severe Storms, (June 1982)",Severe Storm,30102,30112,1526.1,30
"Gulf States Storms and Flooding, (December 1982-January 1983)",Flooding,30286,30331,4777.2,45
"Western Storms and Flooding, (December 1982-March 1983)",Flooding,30298,30406,4663.8,50
"Hurricane Alicia, (August 1983)",Tropical Cyclone,30545,30548,9120,21
,,,,,
"Southeast Drought, (Summer 1983)",Drought,30468,30559,9247.9,0
"Arizona Flooding, (October 1983)",Flooding,30588,30592,1212,14
"Freeze / Cold Wave, (December 1983)",Freeze,30665,30675,6258.5,151
"Tornadoes, Severe Storms, Floods, (Spring 1984)",Severe Storm,30768,30779,1791.6,80
"Severe Storms and Hail, (June 1984)",Severe Storm,30846,30850,1311.8,1
"Winter Storm, Cold Wave, (January 1985)",Winter Storm,31066,31069,2418.8,150
"Florida Freeze, (January 1985)",Freeze,31067,31069,3468,0
"Ohio and Pennsylvania Tornado Outbreak, (June 1985)",Severe Storm,31198,31198,1704,89
"Hurricane Elena, (September 1985)",Tropical Cyclone,31289,31293,3671.6,4
"Hurricane Gloria, (September 1985)",Tropical Cyclone,31316,31318,2414,11
"Hurricane Juan, (October 1985)",Tropical Cyclone,31347,31351,4205.8,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding, (November 1985)",Flooding,31354,31359,3920,62
"Western Severe Storms and Flooding, (February 1986)",Severe Storm,31457,31459,1478.1,13
"Southeast Drought/Heat Wave, (Summer 1986)",Drought,31564,31655,5014.1,100
"Michigan Flooding, (September 1986)",Flooding,31665,31667,1108,10
"U.S. Drought/Heat Wave, (Summer 1988)",Drought,32295,32386,52810.2,454
"Southern Derecho and Severe Storms, (May 1989)",Severe Storm,32629,32634,1356.6,21
"Tropical Storm Allison, (June 1989)",Tropical Cyclone,32685,32687,1439.1,11
"Hurricane Hugo, (September 1989)",Tropical Cyclone,32772,32773,21959.8,86
"Northern Plains Drought, (Summer-Fall 1989)",Drought,32660,32842,7568.1,0
"Florida Freeze, (December 1989)",Freeze,32865,32867,5040,10
"Winter Storm, Cold Wave, (December 1989)",Winter Storm,32863,32868,1646.1,100
"Southern Flooding, (May 1990)",Flooding,33004,33012,2376.3,13
"Colorado Hail Storm, (July 1990)",Severe Storm,33065,33065,1918.9,0
"Western Fire Season, (Summer 1990)",Wildfire,33025,33116,1658.8,17
"California Freeze, (December 1990)",Freeze,33225,33232,8126,0
"Severe Storms, Tornadoes, (March 1991)",Severe Storm,33323,33326,1457.6,0
"Hurricane Bob, (August 1991)",Tropical Cyclone,33468,33470,3351.5,18
"U.S. Drought, (Spring-Summer 1991)",Drought,33298,33481,6829.3,0
"Oakland Firestorm, (October 1991)",Wildfire,33512,33542,7326,25
"Severe Storms, (March 1992)",Severe Storm,33687,33688,1761.6,0
"Hail, Tornadoes, (April 1992)",Severe Storm,33722,33723,2090.2,0
"Severe Storms, Hail, (June 1992)",Severe Storm,33774,33775,1630.6,0
"Hurricane Andrew, (August 1992)",Tropical Cyclone,33839,33843,58590,61
"Hurricane Iniki, (September 1992)",Tropical Cyclone,33858,33859,6696,7
"Southeast Severe Weather, (November 1992)",Severe Storm,33929,33931,1412.8,26
"Northeast Winter Storm, (December 1992)",Winter Storm,33948,33951,5338.7,19
"East Coast Blizzard and Severe Weather, (March 1993)",Winter Storm,34039,34042,11772.6,270
,,,,,
"Northern Plains and Ohio Valley Severe Weather, (July 1993)",Severe Storm,34158,34160,1358.8,1
"Midwest Flooding, (Summer 1993)",Flooding,34147,34196,44856.2,48
"Southeast Drought and Heat Wave, (Summer 1993)",Drought,34121,34212,2692.3,16
"California Wildfires, (Fall 1993)",Wildfire,34213,34303,2880.2,4
"Winter Storm, Cold Wave, (January 1994)",Winter Storm,34351,34354,2173.6,70
"Southeast Ice Storm, (February 1994)",Winter Storm,34373,34378,6235,9
"Midwest/Plains Tornadoes, (April 1994)",Severe Storm,34449,34451,2039.2,3
"Tropical Storm Alberto, (July 1994)",Tropical Cyclone,34522,34525,2057,32
"Texas Flooding, (October 1994)",Flooding,34623,34632,2040,19
"Western Fire Season, (Summer-Fall 1994)",Wildfire,34486,34668,1493.5,0
"California Flooding, (January-March 1995)",Flooding,34700,34789,5075,27
"Texas Hail Storm, (April 1995)",Severe Storm,34817,34817,1155.8,0
"South Plains Severe Weather, (May 1995)",Severe Storm,34824,34826,10972.9,32
"Hurricane Erin, (August 1995)",Tropical Cyclone,34912,34918,1700,6
"Hurricane Marilyn, (September 1995)",Tropical Cyclone,34957,34959,4179,13
"Central, Southern and Northeast Drought/Heat Wave, (September 1995)",Drought,34881,34972,1958.6,872
"Hurricane Opal, (October 1995)",Tropical Cyclone,34976,34978,9331.1,27
,,,,,
"Blizzard/Floods, (January 1996)",Winter Storm,35065,35095,5946.1,187
"Pacific Northwest Severe Flooding, (February 1996)",Flooding,35102,35107,1996.5,9
"Southern Plains Drought, (Spring-Summer 1996)",Drought,35125,35308,3547.1,0
"Hurricane Fran, (September 1996)",Tropical Cyclone,35313,35316,9663.6,37
"New England Flooding, (October 1996)",Flooding,35357,35360,1304.7,1
"West Coast Flooding, (December 1996-January 1997)",Flooding,35431,35441,5792.6,36
"Mississippi and Ohio Valley Severe Weather and Flooding, (March 1997)",Severe Storm,35489,35494,1866.8,67
"Northern Plains Flooding, (Spring 1997)",Flooding,35464,35574,7022.1,11
"Northeast Ice Storm, (January 1998)",Winter Storm,35800,35804,2649.4,16
"Western/Eastern Severe Weather and Flooding, (Winter-Spring 1998)",Severe Storm,35765,35854,1898.5,132
"Minnesota Severe Storms/Hail, (May 1998)",Severe Storm,35930,35930,3050.4,1
"Northern Plains and Great Lakes Derecho, Tornadoes, (June 1998)",Severe Storm,35945,35948,2128.7,20
"Central and Eastern Severe Storms and Flooding, (June 1998)",Severe Storm,35966,35970,1672.2,12
"Tropical Storm Frances, (September 1998)",Tropical Cyclone,36015,36020,1309,2
"Hurricane Bonnie, (August 1998)",Tropical Cyclone,36034,36036,1832.7,3
"Southern Drought and Heat Wave, (Summer 1998)",Drought,35947,36038,6668.1,200
"Hurricane Georges, (September 1998)",Tropical Cyclone,36058,36067,11131.2,16
"Texas Flooding, (October 1998)",Flooding,36084,36092,1752.3,31
"California Freeze, (December 1998)",Freeze,36149,36157,4725,0
"Central and Eastern Winter Storm, (January 1999)",Winter Storm,36161,36164,1920.3,25
"Central and Eastern Winter Storm, (Mid-January 1999)",Winter Storm,36173,36176,1640.8,0
,,,,,
,,,,,
"Oklahoma and Kansas Tornadoes, (May 1999)",Severe Storm,36283,36286,3702.3,55
"Eastern Drought/Heat Wave, (Summer 1999)",Drought,36312,36403,4647.9,502
"Hurricane Floyd, (September 1999)",Tropical Cyclone,36417,36419,11813.5,77
"Southeast Winter Storm, (January 2000)",Winter Storm,36546,36549,1278,4
"Southern Severe Weather, (March 2000)",Severe Storm,36613,36614,1228.2,0
"Western Fire Season, (Spring-Summer 2000)",Wildfire,36586,36769,1913.5,0
"South Florida Flooding, (October 2000)",Flooding,36802,36803,1575,3
"Western/Central/Southeast Drought/Heat Wave, (Spring-Fall 2000)",Drought,36586,36860,9045.1,140
"Midwest/Ohio Valley Hail and Tornadoes, (April 2001)",Severe Storm,36987,36992,5323.1,3
"North Central Severe Weather, (May 2001)",Severe Storm,37011,37012,1154.2,0
"Tropical Storm Allison, (June 2001)",Tropical Cyclone,37047,37059,14572.7,43
"Severe Storms and Tornadoes, (April 2002)",Severe Storm,37373,37374,3559.4,7
"Hurricane Lili, (October 2002)",Tropical Cyclone,37469,37473,1866.6,2
"Tropical Storm Isidore, (September 2002)",Tropical Cyclone,37524,37526,1943.5,5
"Eastern Tornadoes and Severe Storms, (November 2002)",Severe Storm,37569,37571,1209.6,28
"U.S. Drought, (Spring-Fall 2002)",Drought,37316,37590,15491.2,0
"Western Fire Season, (Fall 2002)",Wildfire,37500,37590,2235.6,21
"Severe Storms/Hail, (April 2003)",Severe Storm,37715,37718,3330.5,3
"Severe Storms/Tornadoes, (May 2003)",Severe Storm,37744,37751,6853.2,51
"Midwest/Plains Severe Weather, (July 2003)",Severe Storm,37806,37811,1424.5,7
"Southern Derecho and Eastern Severe Weather, (July 2003)",Severe Storm,37823,37825,1673.5,7
"Hurricane Isabel, (September 2003)",Tropical Cyclone,37882,37883,9048.6,55
"California Wildfires, (Fall 2003)",Wildfire,37865,37955,6419.2,22
"Western/Central Drought/Heat Wave, (Spring-Fall 2003)",Drought,37681,37955,8429.7,35
"Severe Storms, Hail, Tornadoes, (May 2004)",Severe Storm,38128,38134,1632.4,4
"Colorado Hail Storms, (June 2004)",Severe Storm,38146,38147,1119,0
"Hurricane Charley, (August 2004)",Tropical Cyclone,38212,38213,25759.2,35
"Hurricane Frances, (September 2004)",Tropical Cyclone,38233,38239,15777.9,48
"Hurricane Ivan, (September 2004)",Tropical Cyclone,38242,38251,33005.8,57
"Hurricane Jeanne, (September 2004)",Tropical Cyclone,38245,38259,12069.4,28
"Southeast Severe Weather, (March 2005)",Severe Storm,38435,38438,1366.7,0
"Hurricane Dennis, (July 2005)",Tropical Cyclone,38542,38544,3892.3,15
"Hurricane Katrina, (August 2005)",Tropical Cyclone,38589,38594,193795.7,1833
"Midwest Drought, (Spring-Summer 2005)",Drought,38412,38595,2359.6,0
"Hurricane Rita, (September 2005)",Tropical Cyclone,38615,38619,28305.2,119
"Hurricane Wilma, (October 2005)",Tropical Cyclone,38649,38649,29070,35
"Severe Storms and Tornadoes, (March 2006)",Severe Storm,38784,38789,2046.5,10
"Midwest/Southeast Tornadoes, (April 6-8, 2006)",Severe Storm,38813,38815,2421.8,10
"Midwest Tornadoes, (April 2006)",Severe Storm,38820,38823,3659.5,27
"Northeast Flooding, (June 2006)",Flooding,38893,38896,2282.4,20
"North Central Severe Weather and Tornadoes, (August 2006)",Severe Storm,38952,38953,1138.5,1
,,,,,
,,,,,
,,,,,
"Midwest/Plains/Southeast Drought, (Spring-Summer 2006)",Drought,38777,38960,9236.5,0
"Central Severe Weather, (October 2006)",Severe Storm,38992,38995,1327.5,1
"Numerous Wildfires, (2006)",Wildfire,38718,39082,2259.1,28
"California Freeze, (January 2007)",Freeze,39093,39099,2114,1
"Spring Freeze, (April 2007)",Freeze,39176,39182,3086.6,0
"East/South Severe Weather and Flooding, (April 2007)",Severe Storm,39185,39189,3711.5,9
"Western Wildfires, (Summer 2007)",Wildfire,39234,39325,4002.5,12
"Western/Eastern Drought/Heat Wave, (Summer-Fall 2007)",Drought,39234,39416,5342.7,15
"Western, Central and Northeast Severe Weather, (January 2008)",Severe Storm,39451,39456,1424.2,12
"Southeast Tornadoes and Severe Weather, (February 2008)",Severe Storm,39483,39484,1744.8,57
"Southeast Tornadoes, (March 2008)",Severe Storm,39521,39522,1617.3,5
"Southern Severe Weather, (April 2008)",Severe Storm,39547,39549,1476.2,2
"Midwest Tornadoes and Severe Weather, (May 2008)",Severe Storm,39590,39595,4271.6,13
"Midwest/Mid-Atlantic Severe Weather, (June 2008)",Severe Storm,39605,39611,2273.9,18
"Midwest Flooding, (Summer 2008)",Flooding,39539,39629,14439.8,24
"Hurricane Dolly, (July 2008)",Tropical Cyclone,39652,39654,1761.5,3
"Hurricane Gustav, (September 2008)",Tropical Cyclone,39691,39694,8335.8,53
"Hurricane Ike, (September 2008)",Tropical Cyclone,39703,39705,41698.3,112
"U.S. Wildfires, (Fall 2008)",Wildfire,39692,39782,1715.3,16
"U.S. Drought, (2008)",Drought,39448,39813,10164.6,0
"Southeast/Ohio Valley Severe Weather, (February 2009)",Severe Storm,39854,39855,2506,10
"Midwest/Southeast Tornadoes, (March 2009)",Severe Storm,39897,39900,2346,0
"South/Southeast Severe Weather and Tornadoes, (April 2009)",Severe Storm,39912,39913,2045,6
"Central Derecho and Tornadoes, (May 2009)",Severe Storm,39940,39942,1231.3,7
"Midwest, South and East Severe Weather, (June 2009)",Severe Storm,39973,39976,1872.6,0
"Colorado Hail Storm, (July 2009)",Severe Storm,40014,40014,1420,0
"Georgia Flooding, (September 2009)",Flooding,40075,40078,1266.9,10
"Western Wildfires, (Summer-Fall 2009)",Wildfire,39965,40147,1426.7,10
"Southwest/Great Plains Drought, (2009)",Drought,39814,40178,5063.4,0
"Northeast Winter Storm, (February 2010)",Winter Storm,40218,40220,1152.1,3
"Northeast Flooding, (March 2010)",Flooding,40238,40268,2600.3,11
"East/South Flooding and Severe Weather, (May 2010)",Flooding,40298,40300,3195.4,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather, (May 2010)",Severe Storm,40308,40310,4667.3,3
"Rockies/Central/East Severe Weather, (June 2010)",Severe Storm,40339,40344,1261.4,2
"Midwest/Northeast Severe Storms and Flooding, (July 2010)",Severe Storm,40379,40382,1327.7,0
"Arizona Severe Weather, (October 2010)",Severe Storm,40456,40457,5320,0
"Groundhog Day Blizzard, (February 2011)",Winter Storm,40575,40577,2493.9,36
"Midwest/Southeast Tornadoes and Derecho, (April 2011)",Severe Storm,40637,40638,3774.3,9
"Southeast/Midwest Tornadoes, (April 2011)",Severe Storm,40641,40644,2963.8,0
"Midwest/Southeast Tornadoes, (April 2011)",Severe Storm,40647,40649,2800.5,38
"Ohio Valley Derecho and Southern Tornadoes, (April 2011)",Severe Storm,40652,40653,1411,0
"Southeast/Ohio Valley/Midwest Tornadoes, (April 2011)",Severe Storm,40658,40661,13901.8,321
"Midwest/Southeast Tornadoes, (May 2011)",Severe Storm,40685,40690,12280.6,177
"Mississippi River flooding, (April-May 2011)",Flooding,40634,40694,4150.5,7
"Midwest/Southeast Tornadoes and Severe Weather, (June 2011)",Severe Storm,40712,40716,2075.2,3
"Missouri River flooding, (May-June 2011)",Flooding,40664,40724,2783.3,5
"North Central Severe Weather, (July 1, 2011)",Severe Storm,40725,40725,1198.9,0
"Rockies and Midwest Derecho, (July 10-11, 2011)",Severe Storm,40734,40735,1667.2,2
"Midwest/Southeast Severe Weather, (August 17-18, 2011)",Severe Storm,40772,40773,1554.5,0
"Hurricane Irene, (August 2011)",Tropical Cyclone,40781,40783,18216.9,45
"Southern Plains/Southwest Drought and Heat Wave, (Spring-Summer 2011)",Drought,40603,40786,16631.1,95
"Tropical Storm Lee, (September 2011)",Tropical Cyclone,40787,40791,3366.8,21
"Northeastern Winter Storm, (October 2011)",Winter Storm,40845,40846,1248.9,1
"Texas, New Mexico, Arizona Wildfires, (Summer-Fall 2011)",Wildfire,40695,40877,2458.1,5
"Southeast/Ohio Valley Tornadoes, (March 2012)",Severe Storm,40970,40971,4161.2,42
"Texas Tornadoes, (April 2012)",Severe Storm,41001,41002,1350.3,0
"Midwest Tornadoes, (April 2012)",Severe Storm,41012,41013,1494.4,6
