release_year,title,rating,studio,release_year_total,release_yr_tickets,cpi
1995,Batman Forever,PG-13,Warner Bros.,184031112,42306002,152.4
1996,Independence Day,PG-13,20th Century Fox,306169255,69269062,156.9
1997,Men in Black,PG-13,Sony Pictures,250650052,54607854,160.5
1998,Titanic,PG-13,Paramount Pictures,488192879,104092298,163
1999,Star Wars Ep. I: The Phantom Menace,PG,20th Century Fox,430443350,84732942,166.6
2000,How the Grinch Stole Christmas,PG,Universal,254257385,47172056,172.2
2001,Harry Potter and the Sorcerer’s Stone,PG,Warner Bros.,300404434,53074988,177.1
2002,Spider-Man,PG-13,Sony Pictures,403706375,69484746,179.9
2003,Finding Nemo,G,Walt Disney,339714367,56337374,184
2004,Shrek 2,PG,Dreamworks SKG,441226247,71050925,188.9
2005,Star Wars Ep. III: Revenge of the Sith,PG-13,20th Century Fox,380270577,59324582,195.3
2006,Pirates of the Caribbean: Dead Man’s Chest,PG-13,Walt Disney,423315812,64628368,201.6
2007,Spider-Man 3,PG-13,Sony Pictures,336530303,48914288,207.342
2008,The Dark Knight,PG-13,Warner Bros.,531001578,73955652,215.303
2009,Transformers: Revenge of the Fallen,PG-13,Paramount Pictures,402111870,53614916,214.537
2010,Toy Story 3,G,Walt Disney,415004880,52598844,218.056
2011,Harry Potter and the Deathly Hallows: Part II,PG-13,Warner Bros.,381011219,48046812,224.939
2012,The Avengers,PG-13,Walt Disney,623357910,78311295,229.594
2013,Iron Man 3,PG-13,Walt Disney,408992272,50306552,232.957
2014,Guardians of the Galaxy,PG-13,Walt Disney,333055258,40765637,236.736
2015,Star Wars Ep. VII: The Force Awakens,PG-13,Walt Disney,742208942,88043765,237.017
2016,Finding Dory,PG,Walt Disney,486295561,56219140,240.007
2017,Star Wars Ep. VIII: The Last Jedi,PG-13,Walt Disney,517218368,57660910,245.12
2018,Black Panther,PG-13,Walt Disney,700059566,76845177,251.107
2019,Avengers: Endgame,PG-13,Walt Disney,858373000,93708843,255.657
2020,Bad Boys For Life,R,Sony Pictures,204417855,22267740,258.811
2021,Spider-Man: No Way Home,PG-13,Sony Pictures,572984769,56340685,270.97
2022,Top Gun: Maverick,PG-13,Paramount Pictures,718732821,68255728,292.655
2023,Barbie,PG-13,Warner Bros.,636225983,59019108,304.7