FEATURES_DESC_006A,to-float
'PERDIDO CREEK',7
'PERDIDO CREEK',7
'UCHEE CREEK',6
'LITTLE BEAR CR. DAM SPW',7
'TENNESSEE RIVER',5
'TENNESSEE RIVER',
'BLACKWATER CREEK',5
'LOST CREEK',4
'LITTLE PAINT ROCK CREEK',7
'Driver Creek',
'COAL   CREEK',7
'VIADUCT OVER SO.RR',7
'BEAR CREEK DAM SPILLWAY',7
'TOWN CREEK',N
'SOUTHERNLNRAILROAD',6
'BUS BAR TUNNEL- REMOVED',7
'RODGERS BRANCH',N
'LAUREL  CREEK',5
'LITTLE CAHABA RIVER',5
'Swamp Creek',5
'MOORES CREEK',
'Rotary Trail Park',4
'SANDY CREEK SPUR',5
'VALLEY CK',N
'BLACK BRANCH',6
'GINHOUSE BRANCH',5
'BRANCH',N
'COPELAND CREEK',5
'L*N RAIL ROAD',4
'CSX RR',7
'L*N RR',5
'CO RT 1065 SUCARNOCHEE R',1
'SILVER RUN CREEK',6
'DOUBLE BRIDGES CREEK',5
'LITTLE UCHEE CREEK',5
'DRAINAGE DITCH',
'DRAINAGE DITCH',N
'VILLAGE CREEK',6
'FRISCO * SO RR',
'BRANCH',5
'VILLAGE CREEK',6
'RODGERS BRANCH',5
'TRIB TO CEDAR CREEK',4
'MILL CREEK',4
'MORRIS AVE * RR',3
'MORRIS AVE * RR',3
'TOWN BRANCH',N
'SHOAL CREEK',5
'VILLAGE CK',3
'VILLAGE CK',6
'VILLAGE CK',5
'Socapatoy Creek',4
'SHADES CREEK',6
'TALLAHATCHEE CREEK',6
'Hickory Hollow Ck.',N
'Rogers Creek',N
'WILSON CREEK',N
'ST. FLORIAN BRANCH',N
'BRANCH',5
'Trib. to Minters Creek',N
'Trib. to Minters Creek',N
'Jordan Branch',N
'HIGHPINE CREEK',5
'LOST CREEK',6
'SOUTH SANDY CREEK',4
'MANOY CREEK',5
'BRANCH',4
'LITTLE WILLS CREEK',6
'SANDY CREEK',4
'SANDY CREEK',5
'SANDY CREEK',6
'BRANCH',5
'AUDUBON DITCH',N
'BIG WILLS CREEK',6
'VALLEY CREEK',N
'COTACO CREEK',0
'TOWN CREEK',6
'SALT CREEK',6
'JAYBIRD CREEK',5
'SOAPSTONE CREEK',6
'SWEETWATER CREEK',5
'EMUCKFAW CREEK',4
'WEDOWEE CREEK',N
'NORFOLK SOUTHERN',6
'SHOAL CREEK',6
'BIG CREEK',5
'BENGIS  CREEK',4
'TIMBERGUT CREEK',5
'GALLAWAY CREEK',4
'LITTLE WHIPPOORWILL CRK',4
'BRANCH',7
'BRANCH',6
'BRANCH',6
'BRANCH',6
'BRANCH',6
'BRANCH',6
'BRANCH',5
'RAILROAD',6
'GIN HOUSE BRANCH',5